Ship type,Technical efficiency,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between diffrenet ports under a MS jurisdiction [m tonnes],CO₂ emissions produced when ships depart from various ports to start their journeys.under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to destination ports under a MS jurisdiction [m tonnes],"CO₂ emissions while ships are in port, either docked or berthed under a MS jurisdiction at berth [m tonnes]",Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Distance Travelled by Ship(nmiles in thousands)
Refrigerated cargo carrier,21.06,1804.6,5676.31,549.5,2489.2,2058.3,579.3,1417.8,80.45,253.07,22.43
Other ship types,39.72,298.6,933.46,0,674.15,249.68,9.62,769,36.29,113.44,8.23
Other ship types,60.58,1347.41,4273.15,408.2,2413.96,1366.8,52.81,3433.25,43.18,136.93,31.2
Refrigerated cargo carrier,24.63,9228.94,28872.72,0,12533.32,15940.32,399.08,5547.3,93.88,293.71,98.31
Refrigerated cargo carrier,24.63,9429.26,29492.21,0,13527.9,15564.14,400.17,5733.3,92.4,288.99,102.05
Refrigerated cargo carrier,24.63,9664.55,30228.12,0,13884.34,15924,419.79,5560,102.76,321.41,94.05
Refrigerated cargo carrier,24.63,10263.91,32091.42,0,14422.65,17341.11,327.65,5759.1,99.9,312.34,102.74
Bulk carrier,8.31,187.14,589.04,15.71,129.83,332.13,32.28,310.5,73.22,230.45,2.56
Refrigerated cargo carrier,21.32,1271,3985.82,29.2,1898.5,1855.9,202.3,1381.8,65.17,204.36,19.5
Refrigerated cargo carrier,19.24,598.3,1870.36,0,1017.86,797.36,55.14,856.58,53,165.68,11.29
Chemical tanker,5.5,882.94,2794.76,150.14,117.34,2219.92,307.36,655.79,113.2,358.31,7.8
Chemical tanker,5.48,3048.24,9658.27,453.49,3649.03,4137.45,1418.3,2639.64,102.65,325.24,29.7
Ro-pax ship,13.73,9193.17,28721.62,24147.42,619.69,678.85,3275.66,4036.77,150.96,471.63,60.9
Other ship types,42.12,3118,9996.31,5337.99,2192.9,1413.85,1051.57,3852.48,83.5,267.7,37.34
Ro-pax ship,29.69,12999.23,40628.56,37186.99,0,0,1073.44,4303.38,177.66,555.27,73.17
Container ship,17.81,4836.88,15269.74,9781.44,2768.31,1258.8,1461.19,4128.98,116.76,368.62,41.43
Container ship,15.93,4418.18,13945.67,7786.66,3470.1,1655.93,1032.98,4707.97,111.01,350.39,39.8
Refrigerated cargo carrier,25.05,2309.2,7238.67,235.6,3573.6,3031.5,397.9,1574.9,88.61,277.76,26.06
Refrigerated cargo carrier,25.2,2706.3,8484.89,1158.6,3529,3377.1,420.2,2144.4,78.92,247.42,34.29
Refrigerated cargo carrier,25.24,1966.8,6151.92,1367.7,2067.8,2530,186.4,1657.3,74.2,232.08,26.51
Ro-pax ship,28.59,9650.14,30163.5,209.67,14223.38,14413.97,1316.45,4812.3,136.6,426.98,70.65
Ro-pax ship,28.59,7233.9,22555.99,0,10726.46,10687.15,1142.39,3750.8,131.51,410.06,55.01
Refrigerated cargo carrier,17.11,1858.7,5841.45,71.81,2635.38,2563.58,570.67,1991.1,71.54,224.83,25.98
Container ship,20.89,1387.14,4387.12,0,2055.11,1993.04,338.98,1666.3,101.68,321.58,13.64
Ro-pax ship,11,4193.96,13445.84,11192.9,0,0,2253.1,3946,89.25,286.13,46.99
Ro-pax ship,5.00E+01,6240.11,19484.89,293.46,9275.42,9222.5,693.59,4297,99.57,310.91,62.67
Refrigerated cargo carrier,25.74,5601,17469.8,10482.29,4943.38,1478.65,564.98,3720.8,102,318.14,54.91
Refrigerated cargo carrier,25.74,5029,15685.04,9493.37,4346.07,1331.47,515.2,3475.3,97.64,304.55,51.51
Refrigerated cargo carrier,25.74,4801,14974.11,5223.23,3562.22,5755.92,431.3,3258.6,95.84,298.91,50.09
Refrigerated cargo carrier,25.74,4956,15471.94,3771.86,2337.36,8839.77,521.45,2570.7,113.67,354.86,43.6
Refrigerated cargo carrier,25.74,4339,13540.92,6199.44,2797.01,4004.18,538.71,2670,109.38,341.35,39.67
Container ship,18.87,4178.4,13202.16,5771.61,2700.27,3118.84,1611.45,3710.7,115.94,366.34,36.04
Container ship,17.69,5374.43,17004.59,3143.47,5851.12,7261.1,748.89,2735,148.64,470.31,36.16
Bulk carrier,10.23,80.59,255.48,0,0,255.47,0,124.08,75.13,238.17,1.07
Container ship,19.37,599.55,1898.29,0,673.05,1106.63,118.62,764.4,132.07,418.16,4.54
LNG carrier,13.78,14295.86,43689.28,15832.02,1030.07,20416.77,6410.45,4596.5,449.88,1374.87,31.78
LNG carrier,13.78,3402.3,10610.33,665.3,0,9681.77,263.26,943.5,372,1160.11,9.15
Passenger ship,NA,3474,11137.65,4514.05,2667.39,2904.64,1051.57,1519.19,193.43,620.14,17.96
Container ship,15.01,1616.58,5109.57,740.09,1682.09,2391.93,295.46,1655.4,124.72,394.2,12.96
Container ship,16.65,1720.88,5445.51,1078.97,2315.31,1723.87,327.36,1616.12,114.19,361.33,15.07
Other ship types,33.51,1973.5,6168.64,0,3699.49,2417.86,51.3,3280.7,70.75,221.15,27.89
Vehicle carrier,29.23,2241.69,7186.86,5293.84,601.08,585.32,706.59,5211.3,40.85,130.98,54.88
Vehicle carrier,29.23,2438.69,7818.44,5553.79,792.66,874.04,597.96,5120.1,42.68,136.83,57.14
Container ship,18.86,7995.51,25297.6,3463.73,10928.26,9887.78,1017.82,4633.8,131.28,415.37,60.9
Bulk carrier,8,189.9,600.02,0,312.83,275.97,11.22,532,56.64,178.97,3.35
Ro-ro ship,21.55,2715.53,8580.71,374.18,4133.08,3806.73,266.72,3987.36,65.8,207.93,41.27
Vehicle carrier,24.65,4268.67,13503.61,1105.31,5991.6,5952.37,454.35,3800.44,82.34,260.49,51.84
Passenger ship,12.01,11914.7,37335.82,24067.19,4772.48,2387.7,6108.44,2814.5,273.19,856.06,43.61
Passenger ship,12.01,13163.6,41669.6,26799.23,4527.28,2353.16,7989.92,2981.73,319.3,1010.76,41.23
General cargo ship,6.71,2667,8444.23,2065.15,2870.01,2944.81,564.26,2006.1,101.53,321.46,26.27
General cargo ship,11.49,480.1,1521.26,82,781,388,270,796,43.7,138.47,10.99
Passenger ship,9.61,13832.04,43348.87,29340.71,4821.43,2452.5,6734.22,3488.01,328.65,1029.97,42.09
Refrigerated cargo carrier,24.7,589.1,1841.12,0,758.78,998.85,83.49,1032.83,46.62,145.69,12.64
Container ship,16.98,2943.37,9236.65,3165.22,2538.83,3272.47,260.13,1168.4,192.37,603.69,15.3
General cargo ship,5.7,1264.5,4000.43,0,667.54,2512.53,820.35,884,135.98,430.2,9.3
Vehicle carrier,16.39,3982.4,12487.9,3072.43,3134.87,5808.02,472.59,2549.1,107.75,337.89,36.96
Vehicle carrier,16.4,3628.89,11359.21,2490.71,5087.42,3392,389.07,2664.4,97.75,305.98,37.12
General cargo ship,6.41,1085.38,3391.99,257.53,1535.72,1481.84,116.89,792,103.6,323.76,10.48
General cargo ship,7.83,1499.04,4691.68,9.3,1799.37,2618.74,264.28,1352.5,90.67,283.77,16.53
Ro-pax ship,35.25,2419.97,7573.63,151.6,3749.63,3150.28,522.1,2314.53,108.31,338.96,22.34
Vehicle carrier,17.67,540.12,1714.85,0,0,1714.85,0,1314.42,76.52,242.93,7.06
General cargo ship,13.57,1307.3,4119.22,212.72,2160.46,1640.98,105.03,1845.5,55.96,176.34,23.36
General cargo ship,13.57,863.05,2703.09,468.64,856.84,1298.87,78.84,1191.8,53.25,166.8,16.21
General cargo ship,13.57,266.66,849.01,0,624.68,221.6,2.69,443,51.5,163.96,5.18
General cargo ship,13.57,909.7,2859.85,80.86,1112.97,1607.42,58.7,1217.6,58.21,183.01,15.63
Ro-pax ship,23.81,2527.59,7936.84,929.87,2827.38,2811.59,1367.97,2123,92.21,289.53,27.41
General cargo ship,6.8,2277.3,7112.91,113.17,1701.31,5049.78,248.66,1814.6,104.1,325.14,21.88
Bulk carrier,7.81,766.02,2444.11,142.87,773.66,1400.55,127.03,1439.25,61.21,195.31,12.51
Bulk carrier,8.72,1059,3342.08,621.46,1517.57,1126.18,76.94,1430,67.61,213.37,15.66
Container ship,35.5,6690.6,21095.54,18288.4,953.3,1352.9,501.1,5694,79.21,249.74,84.47
Container ship,0,3422.74,10689.75,9721.5,0,0,968.25,4282.63,60.89,190.18,56.21
Bulk carrier,7,103.1,325.82,0,92,208,25,159,61.59,194.64,1.67
Container ship,21.64,1789.16,5655.31,2698.53,1355.52,1382,219.26,2097.92,90.12,284.87,19.85
General cargo ship,9.41,418,1323.11,0,835,407,82,909,52.47,166.09,7.97
Refrigerated cargo carrier,15.17,292.9,918.6,0,763.6,127.3,27.9,374.2,57.43,180.12,5.1
Container ship,12.06,12946.54,40355.75,17948.75,10708.01,5666.68,6032.3,2842,285.59,890.21,45.33
Container ship,12.06,12228.39,38133.51,7749.78,15973.66,10925.44,3484.64,3136.4,253.03,789.04,48.33
Container ship,12.06,8448.86,26425.02,5823.09,13669.64,1514.09,5418.21,2185.2,248.31,776.61,34.03
LNG carrier,11.15,6474.51,18828.34,0,8440.86,10032.3,355.2,1246.4,323.37,940.38,20.02
LNG carrier,12.36,3570.52,10413.24,0,4800.77,5322.44,290.04,720.49,337.86,985.36,10.57
LNG carrier,11.12,4633.43,13541.4,0,6351.96,6791.3,398.14,761.5,361.68,1057.01,12.81
LNG carrier,12.32,5182.81,15231.6,0,7646.3,7211.23,374.06,1241.86,309.66,910.06,16.74
LNG carrier,11.12,7105.37,20403.9,0,6286.93,13468.74,648.24,1566,337.08,967.97,21.08
Bulk carrier,9.71,851.3,2699.11,0,1229.23,1372.74,97.14,1339.69,63.63,201.75,13.38
Bulk carrier,9.35,389.33,1232.61,0,557.42,619.96,55.24,904.96,44.12,139.67,8.82
General cargo ship,9.54,962.21,3028.57,241.42,1118.64,1580.98,87.52,1621,75.69,238.23,12.71
Bulk carrier,6.95,196.4,620.89,0,276.79,319.75,24.37,361.5,64.08,202.59,3.06
Ro-pax ship,24.13,9295.85,29291.23,26449.12,0,0,2842.11,4604.32,147.66,465.27,62.95
LNG carrier,12.08,4631.4,13582.68,0,6638.62,6928.04,16.03,791.41,346.01,1014.77,13.39
LNG carrier,12.34,3645.13,11006.06,0,5626.19,5213.34,166.54,584.09,375.79,1134.65,9.7
Chemical tanker,5.47,755.1,2391.34,180.5,141.38,1890.08,179.38,641.54,93.63,296.53,8.06
Ro-pax ship,23.49,4902.94,15513.88,12183.88,0,0,3268.3,3311.3,110.46,349.53,44.39
Ro-ro ship,12.04,7525.3,23726.15,18199.1,3689.97,1354.36,482.68,7523.32,74.21,233.98,101.41
Ro-ro ship,12.09,7828.67,24686.63,19070.45,3336.69,1550.23,729.31,7446.07,76.84,242.29,101.88
Ro-ro ship,12.09,7650.95,24121.26,18459.03,3878.14,1260.02,524.13,7649.01,75.17,236.98,101.78
Ro-pax ship,NA,13316,41470.89,38789.68,0,0,2682.56,6932,136.5,425.12,97.55
Ro-pax ship,NA,11259,35477.39,32244.46,0,0,3233.56,6047,124.64,392.74,90.33
Ro-pax ship,43,5825.43,18327.37,7182.33,5342.24,5174.12,628.68,3639.28,108.71,342.02,53.59
Vehicle carrier,19.55,4324.88,13559.45,977.33,7345.49,4883.61,353,3384.43,86.66,271.69,49.91
Ro-pax ship,11.57,17345.96,54032.47,252.12,26055.82,27126.25,597.81,6436.91,155.42,484.15,111.61
General cargo ship,7.83,2829.29,8834.58,0,4346.9,4212.07,275.6,1916.1,114.27,356.81,24.76
Ro-pax ship,26.91,23293.9,72573.38,32413.6,16481.3,17209,3667,5936,215.2,670.48,108.24
General cargo ship,12.78,236.4,748.33,69,222,368,89,687,35.24,111.54,6.71
Bulk carrier,8.63,2254.66,7228.44,4759.47,1090.36,945.77,432.84,4996.5,48.16,154.39,46.82
Chemical tanker,NA,6188,19451.19,477.37,9486.51,6624.33,2862.96,4445.08,121.78,382.81,50.81
Chemical tanker,NA,3607.7,11362.96,470.32,5844.08,3023.33,2025.23,2241.19,144.83,456.16,24.91
Chemical tanker,NA,3044.9,9575.51,181.78,5188.12,3071.97,1133.64,2190.46,115.22,362.35,26.43
Chemical tanker,NA,4722.1,14852.29,408.44,5138.35,6446.06,2859.43,3350.27,126.31,397.27,37.39
Chemical tanker,NA,528.3,1659.22,0,1390.56,0,268.66,375.48,136.44,428.52,3.87
Chemical tanker,NA,1466.1,4587.37,578.78,1506.27,2229.97,272.36,976.22,118.23,369.95,12.4
Chemical tanker,NA,3466,10858.14,185.31,4791.31,4817.22,1064.29,2841.48,109.32,342.48,31.71
Container ship,14.32,704.72,2233.58,517.19,1523.22,0,193.15,385.3,126.25,400.14,5.58
General cargo ship,6.75,1397.75,4403.3,420.32,1130.91,2667.08,184.99,1104.7,99.8,314.39,14.01
Container ship,25.97,36,113.67,0,42.56,65.34,5.77,74.92,53.9,170.2,0.67
Container ship,26.05,153.2,482.93,0,351.43,127.65,3.85,154.57,156.71,493.99,0.98
Gas carrier,22.8,189.45,593.29,0,288.2,274.83,30.26,357.8,53.14,166.42,3.57
Container ship,18.23,6649.4,20883.34,2687.78,8578.54,8826.1,790.92,2362.3,193.43,607.5,34.38
Ro-ro ship,26.25,2796.7,8738.37,4225,1621,2701,191,2384.8,88.71,277.18,31.53
Bulk carrier,4.48,365.8,1147.82,0,363.76,750.4,33.66,585.33,67.44,211.62,5.42
Bulk carrier,4.79,165.8,523.91,0,285.31,205.58,33.02,219.67,76.16,240.66,2.18
Bulk carrier,3.91,1114.25,3572.29,521.71,1382.01,1382.97,285.6,1820.68,60.33,193.43,18.47
Ro-pax ship,46.76,13918.3,43815.18,31016.2,0,0,12799.1,2184,350.21,1102.46,39.74
General cargo ship,6.56,537.6,1681.87,0,1641.16,0,40.72,691.5,99.62,311.65,5.4
Passenger ship,9.22,19542.83,61190.8,43793.97,2302.67,1624.03,13470.14,4669.37,351.25,1099.81,55.64
Passenger ship,NA,15570.67,48706.42,46836.06,0,0,1870.36,5798.78,337.53,1055.81,46.13
Container ship,31.03,2183.39,6821.94,893.44,2887.74,2689.62,351.14,2623.7,74.14,231.64,29.45
Container ship,26.54,1452.2,4565.62,622.68,1801.24,1972.88,168.3,1431.1,75.18,236.37,19.32
Container ship,26.97,1061.4,3329.57,233.52,1561.66,1407.02,127.37,1104.7,80.15,251.42,13.24
General cargo ship,15.1,1064.68,3350.31,646.07,1214.3,1247.88,242.09,2371.07,43,135.32,24.76
General cargo ship,15.07,1355.49,4266.38,1327.92,1280.62,1486.16,171.68,2920.26,45.66,143.73,29.69
General cargo ship,5.94,1612.63,5078.81,1129.94,3139.01,510.12,299.73,1813.3,97.02,305.56,16.62
Bulk carrier,4.73,1844.79,5838.16,781.77,2651.38,2215.83,189.15,2327.12,110.19,348.73,16.74
Ro-pax ship,55.64,5305.91,17010.74,16228.88,0,0,781.88,5413.4,75.15,240.93,70.6
Ro-pax ship,56.7,4708.98,15096.98,14063.68,0,0,1033.34,5612.15,66.97,214.72,70.31
Bulk carrier,5.49,863,2724.87,0,1285.98,1349.12,89.77,1458,65.36,206.38,13.2
Container ship,38,3615.6,11408.02,8689.55,941.74,1318.78,458.07,5123.79,55.53,175.21,65.11
Container ship,21.35,6507.5,20544.64,2944.33,10320.77,6651.21,628.3,6664.4,99.86,315.26,65.17
Container ship,17.39,7832.13,24708.52,5925.65,9375.31,8025.55,1382,6262,108.25,341.49,72.35
Ro-pax ship,36.79,7448.25,23469.43,21306.6,0,0,2162.83,5142.31,117.75,371.04,63.25
Container ship,19.05,880.87,2780.72,0,463.31,1975.4,342.01,923.3,94.43,298.08,9.33
Ro-pax ship,41.31,3023.4,9447.42,8572.55,0,138.18,736.67,3703.3,67.74,211.67,44.63
Ro-pax ship,10.25,4254.1,13435.92,8610.72,2151.64,1809.91,863.63,3654.54,95.07,300.26,44.75
Chemical tanker,15.22,2853.2,9147.36,8667.42,0,0,479.94,6504.04,48.58,155.74,58.73
Bulk carrier,9.88,1727.09,5440.27,791.27,1387.66,2771.18,490.16,2497.8,59.29,186.75,29.13
Bulk carrier,10.5,289.7,923.53,8.66,287.9,562.53,64.44,407.4,64.49,205.58,4.49
Ro-pax ship,25.88,2762.2,8713.06,0,4281.86,4340.96,90.26,733.95,206.94,652.76,13.35
Ro-pax ship,25.54,4952.73,15461.56,14111.03,0,1350.53,0,3104.02,101.27,316.14,48.91
Bulk carrier,6.78,879.7,2759.49,729,765,1081,185,1423,54.67,171.49,16.09
Bulk carrier,8.89,129.7,410.32,0,154.73,219.36,36.23,264.42,52.83,167.14,2.46
Container ship,26.42,6578.5,20756.42,9741.94,3097.01,6675.56,1241.91,2419.8,208.82,658.87,31.5
Container ship,26.4,2195.71,6843.18,1022.33,2684.32,3028.05,108.46,653.5,250.39,780.38,8.77
Container ship,26.39,3316.84,10344.69,4587.82,1368.61,2559.25,1829.01,1163.9,180.35,562.49,18.39
Bulk carrier,9.7,3264.01,10199.37,0,4637.38,5105.56,456.44,3521.35,76.78,239.92,42.51
Bulk carrier,7.82,72.2,227.94,0,140.59,67.15,20.2,58.9,106.62,336.6,0.68
Bulk carrier,7.82,511.11,1626.52,316.86,962.53,229.02,118.11,2139.05,59.09,188.04,8.65
